query,query_cluster,evidence_type,page,clicks,impressions,ctr,position,trend_3m,12m_clicks,12m_impressions,12m_ctr,12m_position,intent,commercial_value,content_match,recommended_action,implementation_type,scalability,difficulty,opportunity_score
"""shares outstanding - wab"" financial",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,296.0,0.0,3.4324324324324325,impression-bearing,0.0,300.0,0.0,1.5466666666666666,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,69.02
"""earnings per share - wab"" ""shares outstanding - wab"" financial",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,5.0,0.0,1.4,impression-bearing,0.0,5.0,0.0,1.4,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,67.46
"""shares outstanding - wab""",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/eps,0.0,58.0,0.0,4.844827586206897,impression-bearing,0.0,95.0,0.0,5.747368421052632,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,64.43
"""earnings per share - wab"" finance",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,168.0,0.0,3.8273809523809526,impression-bearing,0.0,174.0,0.0,1.5862068965517242,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,63.72
"""shares outstanding - wab"" financial statement",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,23.0,0.0,3.0,impression-bearing,0.0,39.0,0.0,3.076923076923077,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,56.81
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/RITM,0.0,3.0,0.0,1.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,53.7
"""earnings per share - wab"" financial statements",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,16.0,0.0,2.5625,impression-bearing,0.0,142.0,0.0,1.6549295774647887,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,52.33
"""shares outstanding - wab"" financial statement",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/eps,0.0,39.0,0.0,3.076923076923077,impression-bearing,0.0,39.0,0.0,3.076923076923077,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,50.18
"""earnings per share - wab"" ""shares outstanding - wab"" financial statements",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,2.0,0.0,1.0,impression-bearing,0.0,2.0,0.0,1.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,47.36
"financial data ""earnings per share - wab""",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,2.0,0.0,1.5,impression-bearing,0.0,2.0,0.0,1.5,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,47.36
"""shares outstanding - wab""",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,37.0,0.0,7.162162162162162,impression-bearing,0.0,95.0,0.0,5.747368421052632,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,46.42
"""earnings per share - wab"" financial statement",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,13.0,0.0,3.4615384615384617,impression-bearing,0.0,229.0,0.0,1.62882096069869,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,40.31
nike vs ford,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/F-vs-NKE,0.0,20.0,0.0,5.65,impression-bearing,0.0,20.0,0.0,5.65,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,39.38
"""shares outstanding - wab"" financial model",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/eps,0.0,11.0,0.0,3.5454545454545454,impression-bearing,0.0,13.0,0.0,3.8461538461538463,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,38.86
"""earnings per share - wab"" financial data",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,5.0,0.0,2.0,impression-bearing,0.0,6.0,0.0,2.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,38.79
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/TMQ,0.0,7.0,0.0,4.714285714285714,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,38.45
dell technologies historical revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DELL/shares-outstanding,0.0,13.0,0.0,8.76923076923077,impression-bearing,0.0,15.0,0.0,9.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,37.93
ford vs nike,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/F-vs-NKE,0.0,16.0,0.0,7.3125,impression-bearing,0.0,16.0,0.0,7.3125,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,37.58
ubiquiti vs jbl,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/JBL-vs-UI,0.0,6.0,0.0,4.5,impression-bearing,0.0,6.0,0.0,4.5,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,36.85
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GEVO,0.0,5.0,0.0,1.6,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,36.79
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/RJET,0.0,5.0,0.0,2.6,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,36.79
cognizant ctsh revenue net income 2022 2023 2024 annual growth,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CTSH/net-income,0.0,8.0,0.0,8.0,impression-bearing,0.0,8.0,0.0,8.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,34.18
alphabet inc. terminal growth assumption changes,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL,0.0,1.0,0.0,1.0,impression-bearing,0.0,1.0,0.0,1.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,33.6
meta ebitda margin,margins,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/META,0.0,1.0,0.0,1.0,impression-bearing,0.0,1.0,0.0,1.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,33.6
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/NTLA,0.0,1.0,0.0,1.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,33.6
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/,0.0,9.0,0.0,5.222222222222222,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,33.07
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/monitor,0.0,9.0,0.0,9.666666666666666,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,33.07
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks,0.0,9.0,0.0,6.555555555555555,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,33.07
jbl vs ubiquiti,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/JBL-vs-UI,0.0,4.0,0.0,4.25,impression-bearing,0.0,4.0,0.0,4.25,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,32.81
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/VMET,0.0,4.0,0.0,4.25,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,32.81
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/privacy,0.0,8.0,0.0,8.625,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,32.18
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/support,0.0,8.0,0.0,9.25,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,32.18
"""shares outstanding - wab"" financial model",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,3.0,0.0,5.0,impression-bearing,0.0,13.0,0.0,3.8461538461538463,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,32.14
robinhood mco,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/HOOD-vs-MCO,0.0,6.0,0.0,8.333333333333332,impression-bearing,0.0,6.0,0.0,8.333333333333332,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,30.04
mur vs lib,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/LB-vs-MUR,1.0,23.0,0.043478260869565216,6.956521739130435,impression-bearing,1.0,23.0,0.043478260869565216,6.956521739130435,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,29.39
fiscal ai pricing,other,OBSERVED_GSC,https://www.stockportfolio.pro/vs/fiscal-ai,0.0,9.0,0.0,12.444444444444445,impression-bearing,0.0,9.0,0.0,12.444444444444445,commercial research,5,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,29.2
allstate vs metlife,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/ALL-vs-MET,0.0,18.0,0.0,11.444444444444445,impression-bearing,0.0,18.0,0.0,11.444444444444445,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,29.11
"financial data ""shares outstanding - wab""",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,2.0,0.0,5.0,impression-bearing,0.0,2.0,0.0,5.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,28.68
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/TRIP/revenue,0.0,2.0,0.0,5.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,28.68
dell technologies historical annual revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DELL/shares-outstanding,0.0,11.0,0.0,12.090909090909092,impression-bearing,0.0,11.0,0.0,12.090909090909092,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,28.67
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/PL,0.0,4.0,0.0,3.25,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,28.63
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/PLMR,0.0,2.0,0.0,3.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,27.78
dell shares outstanding 2026,shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DELL/shares-outstanding,0.0,3.0,0.0,10.0,impression-bearing,0.0,3.0,0.0,10.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,27.28
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ASTH/revenue,0.0,3.0,0.0,6.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,27.28
"""dropbox"" ""gross profit"" ""2017"" ""2018"" ""2019"" 10-k",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DBX,0.0,4.0,0.0,8.5,impression-bearing,0.0,4.0,0.0,8.5,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,27.18
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DX,0.0,4.0,0.0,5.25,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,27.18
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/SHW,0.0,4.0,0.0,7.5,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,27.18
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/company?symbol=PRSU,0.0,2.0,0.0,4.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,26.68
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/MSFT,0.0,9.0,0.0,11.333333333333334,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,25.7
googl shares outstanding 2025,shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/shares-outstanding,0.0,2.0,0.0,9.0,impression-bearing,0.0,2.0,0.0,9.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,24.84
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AGX/shares-outstanding,0.0,2.0,0.0,10.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,24.84
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DBX/eps,0.0,2.0,0.0,7.5,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,24.84
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL,0.0,7.0,0.0,13.285714285714286,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,24.52
"""earnings per share - wab"" financial data",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,1.0,0.0,2.0,impression-bearing,0.0,6.0,0.0,2.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,24.51
hl portfolio,other,OBSERVED_GSC,https://www.stockportfolio.pro/company?symbol=HL,0.0,3.0,0.0,19.666666666666668,impression-bearing,0.0,3.0,0.0,19.666666666666668,commercial research,5,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,24.35
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/SRPT/dividend-history,0.0,4.0,0.0,19.25,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,24.03
"""shares outstanding - wab"" financial statements",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/eps,0.0,1.0,0.0,4.0,impression-bearing,0.0,11.0,0.0,1.6363636363636362,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,23.82
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/LKFN/revenue,0.0,1.0,0.0,5.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,23.82
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/META,0.0,6.0,0.0,13.833333333333334,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,23.81
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/EVTC,0.0,5.0,0.0,15.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,23.0
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/IPI,0.0,5.0,0.0,14.6,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,23.0
is vg a good stock to buy,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/LNG-vs-VG,0.0,1.0,0.0,8.0,impression-bearing,0.0,1.0,0.0,8.0,commercial research,5,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,22.89
jazz pharmaceuticals total debt cash fy2025,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/JAZZ/total-debt,0.0,3.0,0.0,13.333333333333334,impression-bearing,0.0,3.0,0.0,13.333333333333334,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,22.85
dell vs ibm stock,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/DELL-vs-IBM,0.0,2.0,0.0,8.0,impression-bearing,0.0,2.0,0.0,8.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,22.84
nws vs nwsa,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/NWS-vs-NWSA,0.0,2.0,0.0,6.0,impression-bearing,0.0,2.0,0.0,6.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,22.84
ua vs uaa,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/UA-vs-UAA,0.0,2.0,0.0,9.0,impression-bearing,0.0,2.0,0.0,9.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,22.84
venture global vs cheniere,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/LNG-vs-VG,0.0,2.0,0.0,7.5,impression-bearing,0.0,2.0,0.0,7.5,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,22.84
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DBRG,0.0,1.0,0.0,2.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,22.51
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/RKT,0.0,1.0,0.0,3.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,22.51
es ppl,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/ES-vs-PPL,0.0,1.0,0.0,5.0,impression-bearing,0.0,1.0,0.0,5.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,21.82
ibkr c,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/C-vs-IBKR,0.0,1.0,0.0,5.0,impression-bearing,0.0,1.0,0.0,5.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,21.82
mrvl vs anet,comparison,OBSERVED_GSC,https://www.stockportfolio.pro/compare/ANET-vs-MRVL,0.0,1.0,0.0,5.0,impression-bearing,0.0,1.0,0.0,5.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,21.82
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/company?symbol=WS,0.0,1.0,0.0,5.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,21.82
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare,0.0,1.0,0.0,4.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,review,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,1,1,21.82
