query,ticker,intent,intent_confidence,expected_metric,intended_metric,expected_route,intended_route,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,total_relevant_metric_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_correct,dominant_route_is_correct,intended_route_position,wrong_route_position,evidence_strength,ownership_band,base_stock_page_competing,meaningful_wrong_route_volume,clicks,ctr,position,material_cannibalization,recommended_action,change_category,ranking_opportunity,severity,route_breakdown
dell technologies historical revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025,DELL,REVENUE,high,revenue,REVENUE,/stocks/DELL/revenue,/stocks/DELL/revenue,0,15.0,15.0,15.0,0.0,1,/stocks/DELL/shares-outstanding,13.0,no,no,0,9.0,WEAK_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,9.0,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,striking distance,medium,/stocks/DELL/shares-outstanding=13; /stocks/DELL/gross-profit=2
"""shares outstanding - wab"" financial model",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,14.0,14.0,14.0,0.0,1,/stocks/WAB/eps,11.0,no,no,0,3.857142857142857,WEAK_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,3.857142857142857,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,striking distance,medium,/stocks/WAB/eps=11; /stocks/WAB/dividend-history=3
"""shares outstanding - wab"" financial statements",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,11.0,11.0,11.0,0.0,1,/stocks/WAB/dividend-history,10.0,no,no,0,1.6363636363636365,WEAK_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,1.6363636363636365,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,medium,/stocks/WAB/dividend-history=10; /stocks/WAB/eps=1
dell technologies historical annual revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025,DELL,REVENUE,high,revenue,REVENUE,/stocks/DELL/revenue,/stocks/DELL/revenue,0,11.0,11.0,11.0,0.0,0,/stocks/DELL/shares-outstanding,11.0,no,no,0,12.090909090909092,WEAK_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,12.090909090909092,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,page-one opportunity,medium,/stocks/DELL/shares-outstanding=11
"""shares outstanding - wab"" financial data",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,6.0,6.0,6.0,0.0,0,/stocks/WAB/dividend-history,6.0,no,no,0,1.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,1.0,no,NO_ACTION,NONE,top-3 visibility,none,/stocks/WAB/dividend-history=6
"""earnings per share - wab"" financial data",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,6.0,6.0,6.0,0.0,1,/stocks/WAB/dividend-history,5.0,no,no,0,2.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,2.0,no,NO_ACTION,NONE,top-3 visibility,none,/stocks/WAB/dividend-history=5; /stocks/WAB/shares-outstanding=1
uipath revenue,PATH,REVENUE,high,revenue,REVENUE,/stocks/PATH/revenue,/stocks/PATH/revenue,0,3.0,3.0,3.0,0.0,0,/stocks/PATH,3.0,no,no,0,46.666666666666664,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,46.666666666666664,no,NO_ACTION,NONE,long-tail,none,/stocks/PATH=3
"financial data ""earnings per share - wab""",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,2.0,2.0,2.0,0.0,0,/stocks/WAB/dividend-history,2.0,no,no,0,1.5,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,1.5,no,NO_ACTION,NONE,top-3 visibility,none,/stocks/WAB/dividend-history=2
"financial data ""shares outstanding - wab""",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,2.0,2.0,2.0,0.0,0,/stocks/WAB/dividend-history,2.0,no,no,0,5.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,5.0,no,NO_ACTION,NONE,striking distance,none,/stocks/WAB/dividend-history=2
gates corporation revenue,GTES,REVENUE,high,revenue,REVENUE,/stocks/GTES/revenue,/stocks/GTES/revenue,0,2.0,2.0,2.0,0.0,0,/stocks/GTES,2.0,no,no,0,33.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,33.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GTES=2
under armour revenue,UA,REVENUE,high,revenue,REVENUE,/stocks/UA/revenue,/stocks/UA/revenue,0,2.0,2.0,2.0,0.0,0,/stocks/UA,2.0,no,no,0,41.5,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,41.5,no,NO_ACTION,NONE,long-tail,none,/stocks/UA=2
adt annual revenue,ADT,REVENUE,high,revenue,REVENUE,/stocks/ADT/revenue,/stocks/ADT/revenue,0,2.0,2.0,2.0,0.0,1,/stocks/ADT/net-income,1.0,no,no,0,47.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,47.0,no,NO_ACTION,NONE,long-tail,none,/stocks/ADT=1; /stocks/ADT/net-income=1
mirion technologies revenue,MIR,REVENUE,high,revenue,REVENUE,/stocks/MIR/revenue,/stocks/MIR/revenue,0,2.0,2.0,2.0,0.0,1,/stocks/MIR/net-income,1.0,no,no,0,53.5,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,53.5,no,NO_ACTION,NONE,long-tail,none,/stocks/MIR=1; /stocks/MIR/net-income=1
upwork revenue,UPWK,REVENUE,high,revenue,REVENUE,/stocks/UPWK/revenue,/stocks/UPWK/revenue,0,2.0,2.0,2.0,0.0,0,/stocks/UPWK,2.0,no,no,0,57.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,57.0,no,NO_ACTION,NONE,long-tail,none,/stocks/UPWK=2
lincoln electric annual revenue,LECO,REVENUE,high,revenue,REVENUE,/stocks/LECO/revenue,/stocks/LECO/revenue,0,2.0,2.0,2.0,0.0,1,/stocks/LECO/net-income,1.0,no,no,0,63.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,63.0,no,NO_ACTION,NONE,long-tail,none,/stocks/LECO=1; /stocks/LECO/net-income=1
morningstar revenue,MORN,REVENUE,high,revenue,REVENUE,/stocks/MORN/revenue,/stocks/MORN/revenue,0,2.0,2.0,2.0,0.0,0,/stocks/MORN,2.0,no,no,0,65.5,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,65.5,no,NO_ACTION,NONE,long-tail,none,/stocks/MORN=2
sherwin williams annual revenue,SHW,REVENUE,high,revenue,REVENUE,/stocks/SHW/revenue,/stocks/SHW/revenue,0,2.0,2.0,2.0,0.0,0,/stocks/SHW,2.0,no,no,0,80.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,80.0,no,NO_ACTION,NONE,long-tail,none,/stocks/SHW=2
dell technologies historical revenue 10 years fy2015 to fy2025,DELL,REVENUE,high,revenue,REVENUE,/stocks/DELL/revenue,/stocks/DELL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/DELL/gross-profit,1.0,no,no,0,17.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,17.0,no,NO_ACTION,NONE,page-one opportunity,none,/stocks/DELL/gross-profit=1
dell technologies historical annual revenue last 10 years fy2015 to fy2025,DELL,REVENUE,high,revenue,REVENUE,/stocks/DELL/revenue,/stocks/DELL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/DELL/shares-outstanding,1.0,no,no,0,18.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,18.0,no,NO_ACTION,NONE,page-one opportunity,none,/stocks/DELL/shares-outstanding=1
dell technologies revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025,DELL,REVENUE,high,revenue,REVENUE,/stocks/DELL/revenue,/stocks/DELL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/DELL/shares-outstanding,1.0,no,no,0,18.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,18.0,no,NO_ACTION,NONE,page-one opportunity,none,/stocks/DELL/shares-outstanding=1
boyd corporation revenue,BYD,REVENUE,high,revenue,REVENUE,/stocks/BYD/revenue,/stocks/BYD/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/BYD,1.0,no,no,0,29.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,29.0,no,NO_ACTION,NONE,long-tail,none,/stocks/BYD=1
gap inc revenue,GAP,REVENUE,high,revenue,REVENUE,/stocks/GAP/revenue,/stocks/GAP/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GAP,1.0,no,no,0,32.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,32.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GAP=1
cirrus logic revenue,CRUS,REVENUE,high,revenue,REVENUE,/stocks/CRUS/revenue,/stocks/CRUS/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/CRUS,1.0,no,no,0,37.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,37.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CRUS=1
bruker revenue,BRKR,REVENUE,high,revenue,REVENUE,/stocks/BRKR/revenue,/stocks/BRKR/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/BRKR,1.0,no,no,0,41.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,41.0,no,NO_ACTION,NONE,long-tail,none,/stocks/BRKR=1
aci worldwide revenue,ACIW,REVENUE,high,revenue,REVENUE,/stocks/ACIW/revenue,/stocks/ACIW/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/ACIW,1.0,no,no,0,42.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,42.0,no,NO_ACTION,NONE,long-tail,none,/stocks/ACIW=1
lear revenue,LEA,REVENUE,high,revenue,REVENUE,/stocks/LEA/revenue,/stocks/LEA/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/LEA,1.0,no,no,0,44.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,44.0,no,NO_ACTION,NONE,long-tail,none,/stocks/LEA=1
national vision revenue,EYE,REVENUE,high,revenue,REVENUE,/stocks/EYE/revenue,/stocks/EYE/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/EYE,1.0,no,no,0,44.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,44.0,no,NO_ACTION,NONE,long-tail,none,/stocks/EYE=1
gamestop annual revenue,GME,REVENUE,high,revenue,REVENUE,/stocks/GME/revenue,/stocks/GME/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GME,1.0,no,no,0,45.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,45.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GME=1
gamestop revenue,GME,REVENUE,high,revenue,REVENUE,/stocks/GME/revenue,/stocks/GME/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GME,1.0,no,no,0,48.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,48.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GME=1
selective insurance revenue,SIGI,REVENUE,high,revenue,REVENUE,/stocks/SIGI/revenue,/stocks/SIGI/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/SIGI,1.0,no,no,0,50.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,50.0,no,NO_ACTION,NONE,long-tail,none,/stocks/SIGI=1
fb shares outstanding,META,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/META/shares-outstanding,/stocks/META/shares-outstanding,0,1.0,1.0,1.0,0.0,0,/stocks/META,1.0,no,no,0,51.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,51.0,no,NO_ACTION,NONE,long-tail,none,/stocks/META=1
kratos revenue,KTOS,REVENUE,high,revenue,REVENUE,/stocks/KTOS/revenue,/stocks/KTOS/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/KTOS,1.0,no,no,0,51.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,51.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KTOS=1
n-able revenue,NABL,REVENUE,high,revenue,REVENUE,/stocks/NABL/revenue,/stocks/NABL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/NABL,1.0,no,no,0,52.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,52.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NABL=1
murphy usa revenue,MUSA,REVENUE,high,revenue,REVENUE,/stocks/MUSA/revenue,/stocks/MUSA/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/MUSA,1.0,no,no,0,53.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,53.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MUSA=1
neogen revenue,NEOG,REVENUE,high,revenue,REVENUE,/stocks/NEOG/revenue,/stocks/NEOG/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/NEOG,1.0,no,no,0,58.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,58.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NEOG=1
upwork annual revenue,UPWK,REVENUE,high,revenue,REVENUE,/stocks/UPWK/revenue,/stocks/UPWK/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/UPWK,1.0,no,no,0,60.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,60.0,no,NO_ACTION,NONE,long-tail,none,/stocks/UPWK=1
crocs revenue,CROX,REVENUE,high,revenue,REVENUE,/stocks/CROX/revenue,/stocks/CROX/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/CROX,1.0,no,no,0,62.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,62.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CROX=1
monday.com revenue,MNDY,REVENUE,high,revenue,REVENUE,/stocks/MNDY/revenue,/stocks/MNDY/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/MNDY,1.0,no,no,0,62.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,62.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MNDY=1
new york times annual revenue,NYT,REVENUE,high,revenue,REVENUE,/stocks/NYT/revenue,/stocks/NYT/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/NYT/net-income,1.0,no,no,0,62.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,62.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NYT/net-income=1
annual revenue disney,DIS,REVENUE,high,revenue,REVENUE,/stocks/DIS/revenue,/stocks/DIS/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/DIS/net-income,1.0,no,no,0,64.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,64.0,no,NO_ACTION,NONE,long-tail,none,/stocks/DIS/net-income=1
lyft net income,LYFT,NET_INCOME,high,net-income,NET_INCOME,/stocks/LYFT/net-income,/stocks/LYFT/net-income,0,1.0,1.0,1.0,0.0,0,/stocks/LYFT/revenue,1.0,no,no,0,65.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,65.0,no,NO_ACTION,NONE,long-tail,none,/stocks/LYFT/revenue=1
thor industries revenue,THO,REVENUE,high,revenue,REVENUE,/stocks/THO/revenue,/stocks/THO/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/THO,1.0,no,no,0,70.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,70.0,no,NO_ACTION,NONE,long-tail,none,/stocks/THO=1
western midstream revenue,WES,REVENUE,high,revenue,REVENUE,/stocks/WES/revenue,/stocks/WES/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/WES,1.0,no,no,0,72.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,72.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WES=1
alphabet revenue,GOOGL,REVENUE,high,revenue,REVENUE,/stocks/GOOGL/revenue,/stocks/GOOGL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GOOGL,1.0,no,no,0,74.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,74.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL=1
adt shares outstanding,ADT,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/ADT/shares-outstanding,/stocks/ADT/shares-outstanding,0,1.0,1.0,1.0,0.0,0,/stocks/ADT/eps,1.0,no,no,0,75.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,75.0,no,NO_ACTION,NONE,long-tail,none,/stocks/ADT/eps=1
teladoc revenue,TDOC,REVENUE,high,revenue,REVENUE,/stocks/TDOC/revenue,/stocks/TDOC/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/TDOC,1.0,no,no,0,76.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,76.0,no,NO_ACTION,NONE,long-tail,none,/stocks/TDOC=1
gm annual revenue,GM,REVENUE,high,revenue,REVENUE,/stocks/GM/revenue,/stocks/GM/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GM/gross-profit,1.0,no,no,0,77.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,77.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GM/gross-profit=1
gm yearly revenue,GM,REVENUE,high,revenue,REVENUE,/stocks/GM/revenue,/stocks/GM/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GM/gross-profit,1.0,no,no,0,77.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,77.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GM/gross-profit=1
alphabet annual revenue,GOOGL,REVENUE,high,revenue,REVENUE,/stocks/GOOGL/revenue,/stocks/GOOGL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GOOGL,1.0,no,no,0,81.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,81.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL=1
target annual revenue,TGT,REVENUE,high,revenue,REVENUE,/stocks/TGT/revenue,/stocks/TGT/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/TGT,1.0,no,no,0,81.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,81.0,no,NO_ACTION,NONE,long-tail,none,/stocks/TGT=1
goog-20220930 revenue backlog remaining performance obligations,GOOGL,REVENUE,high,revenue,REVENUE,/stocks/GOOGL/revenue,/stocks/GOOGL/revenue,0,1.0,1.0,1.0,0.0,0,/stocks/GOOGL,1.0,no,no,0,83.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,83.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL=1
microsoft net income,MSFT,NET_INCOME,high,net-income,NET_INCOME,/stocks/MSFT/net-income,/stocks/MSFT/net-income,0,1.0,1.0,1.0,0.0,0,/stocks/MSFT,1.0,no,no,0,83.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,83.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MSFT=1
net income of google,*,NET_INCOME,high,net-income,NET_INCOME,*/net-income,*/net-income,1.0,1.0,2.0,2.0,0.5,1,/stocks/GOOGL,1.0,no,no,79.0,52.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,65.5,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOG/net-income=1; /stocks/GOOGL=1
lamb weston annual revenue,LW,REVENUE,high,revenue,REVENUE,/stocks/LW/revenue,/stocks/LW/revenue,1.0,1.0,2.0,2.0,0.5,1,/stocks/LW/revenue,1.0,yes,yes,44.0,58.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,51.0,no,NO_ACTION,NONE,long-tail,none,/stocks/LW=1; /stocks/LW/revenue=1
google net income,GOOGL,NET_INCOME,high,net-income,NET_INCOME,/stocks/GOOGL/net-income,/stocks/GOOGL/net-income,2.0,1.0,3.0,3.0,0.6666666666666666,1,/stocks/GOOGL/net-income,2.0,yes,yes,53.5,45.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,yes,no,0.0,0.0,50.666666666666664,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/net-income=2; /stocks/GOOGL=1
