creator,channel,audience_fit,contacted_at,reply_at,tracked_url,qualified_clicks,signups,customers,status,notes
"Brian Feroldi","https://www.brianferoldi.com/","Financial literacy and investing education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-brian-feroldi&click_id=creator-20260809-brian-feroldi","0","0","0","route_captcha_required","""Verified 2026-08-10: official contact form requires Cloudflare Turnstile. Do not bypass it; submit only after a human solves the form challenge."""
"Andrew Lokenauth","https://andrewlokenauth.com/","Finance newsletter and market education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-andrew-lokenauth&click_id=creator-20260809-andrew-lokenauth","0","0","0","route_hold","""Verified 2026-08-10: official contact page exposes no usable form or published business mailbox. Do not guess an address."""
"Morningstar","https://www.morningstar.com/","Stocks, ETFs and fund research readers","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-morningstar&click_id=creator-20260809-morningstar","0","0","0","route_not_appropriate","""Verified 2026-08-10: available media route is for credentialed journalists, not a product pitch."""
"Kiplinger","https://www.kiplinger.com/about-us","Personal finance and investing audience","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-kiplinger&click_id=creator-20260809-kiplinger","0","0","0","route_hold","""Verified 2026-08-10: editorial, contributor and commercial routes are separate. Revisit only with a genuine editorial proposal or commercial budget."""
"MoneyWeek","https://moneyweek.com/about-us","Independent investing and finance commentary","2026-08-09T14:14:45.904Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-moneyweek&click_id=creator-20260809-moneyweek","0","0","0","sent","""Offer a citation-ready result and request product feedback through the editorial/business contact path."""
"Seeking Alpha","https://seekingalpha.com/","Self-directed stock and ETF investors","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-seeking-alpha&click_id=creator-20260809-seeking-alpha","0","0","0","route_not_appropriate","""Verified 2026-08-10: contributor/editor channels are for original investment articles, not product promotion."""
"Wall Street Oasis","https://www.wallstreetoasis.com/","Finance professionals and investing community","2026-08-09T20:07:00Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-wso&click_id=creator-20260809-wso","0","0","0","sent","""Sent from support@stockportfolio.pro and confirmed in Sent. Offered a practical filing-timeline example for finance discussion threads; no paid-promotion request."""
"Kitces","https://www.kitces.com/","Financial advisors and planning professionals","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-kitces&click_id=creator-20260809-kitces","0","0","0","route_manual_review","""Verified 2026-08-10: vendor/consulting form was prepared but did not return a submission confirmation. Do not count it as sent or retry automatically."""
"BetterInvesting","https://www.betterinvesting.org/","Individual investors learning fundamental analysis","2026-08-09T14:14:54.964Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-betterinvesting&click_id=creator-20260809-betterinvesting","0","0","0","sent","""Offer the cash-conversion checker as a learning aid and invite methodology criticism."""
"Overlooked Alpha","https://overlookedalpha.com/","Investment research newsletter","2026-08-09T20:04:00Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-overlooked-alpha&click_id=creator-20260809-overlooked-alpha","0","0","0","sent","""Sent from support@stockportfolio.pro and confirmed in Sent. Offered a neutral filing trail for idea diligence; no sponsorship ask."""
"The Bear Cave","https://thebearcave.substack.com/","Short and investigative equity research","2026-08-09T20:05:00Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-bear-cave&click_id=creator-20260809-bear-cave","0","0","0","sent","""Sent from support@stockportfolio.pro and confirmed in Sent. Offered a neutral filing trail and share-count comparison; no sponsorship ask."""
"Irrational Analysis","https://irrationalanalysis.substack.com/","Fundamental and contrarian analysis","2026-08-09T14:15:04.140Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-irrational-analysis&click_id=creator-20260809-irrational-analysis","0","0","0","sent","""Ask whether explicit period matching would strengthen a contrarian thesis workflow."""
"Sven Carlin","https://www.youtube.com/@SvenCarlin","Long-term value investing education","2026-08-09T14:15:13.358Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-sven-carlin&click_id=creator-20260809-sven-carlin","0","0","0","sent","""Offer a source-linked cash-flow check for a company in a recent video and request candid critique."""
"Everything Money","https://www.youtube.com/@EverythingMoney","Fundamental stock analysis education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-everything-money&click_id=creator-20260809-everything-money","0","0","0","route_captcha_required","""Verified 2026-08-10: official form is protected by hCaptcha. Do not bypass it; submit only after a human solves the form challenge."""
"Joseph Carlson","https://www.youtube.com/@JosephCarlsonShow","Portfolio and dividend investing","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-joseph-carlson&click_id=creator-20260809-joseph-carlson","0","0","0","route_hold","""Verified 2026-08-10: no creator-owned business-contact route disclosed. Do not guess an address."""
"Patrick Boyle","https://www.youtube.com/@PBoyle","Markets and finance education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-patrick-boyle&click_id=creator-20260809-patrick-boyle","0","0","0","route_hold","""Verified 2026-08-10: no creator-owned business-contact route disclosed. Do not use similarly named unrelated websites."""
"Investing with Rose","https://www.youtube.com/@InvestingWithRose","Beginner investing education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-investing-with-rose&click_id=creator-20260809-investing-with-rose","0","0","0","route_hold","""Verified 2026-08-10: saved channel URL returns 404; revalidate creator identity before contact."""
"The Plain Bagel","https://www.youtube.com/@ThePlainBagel","Investing and personal finance education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-plain-bagel&click_id=creator-20260809-plain-bagel","0","0","0","route_hold","""Verified 2026-08-10: no creator-owned business-contact route disclosed. Do not guess an address."""
"Ben Felix","https://www.youtube.com/@BenFelixCSI","Evidence-based portfolio education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-ben-felix&click_id=creator-20260809-ben-felix","0","0","0","route_not_appropriate","""Verified 2026-08-10: public PWL contact is an employer/client-service route, not creator outreach."""
"Mark Meldrum","https://www.youtube.com/@MarkMeldrum","Finance and valuation education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-mark-meldrum&click_id=creator-20260809-mark-meldrum","0","0","0","route_not_appropriate","""Verified 2026-08-10: public support route is for course customers, not creator outreach."""
"Aswath Damodaran","https://pages.stern.nyu.edu/~adamodar/","Valuation and corporate-finance education","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-damodaran&click_id=creator-20260809-damodaran","0","0","0","route_not_appropriate","""Verified 2026-08-10: public academic contact is for teaching/academic correspondence, not a product pitch."""
"Value Junkie","https://www.thevaluejunkie.com/about","Special situations, hidden value and quality compounders","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-value-junkie-ask&click_id=creator-20260810-value-junkie-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized paid Ask AI workflow and filing-timeline link."""
"Ravineview Research","https://www.ravineviewresearch.com/","Stock, industry, macro and alternative-asset research","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-ravineview-ask&click_id=creator-20260810-ravineview-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized source-trail and paid Ask AI workflow."""
"The Unicus Investor","https://contrarianunicus.substack.com/about","Forensic short ideas, supply-chain risk and earnings research","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-unicus-investor-ask&click_id=creator-20260810-unicus-investor-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized forensic filing and paid Ask AI workflow."""
"DivDip","https://divdip.com/contact","Dividend research and alerts","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-divdip-ask&click_id=creator-20260810-divdip-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized payout-period and paid Ask AI workflow."""
"Equedia Investment Letter","https://www.equedia.com/contact/","Macro, geopolitics and public-market research","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-equedia-ask&click_id=creator-20260810-equedia-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized what-changed filing and paid Ask AI workflow."""
"Pernas Research","https://pernasresearch.com/","Motor Investing and fundamental research for professional investors","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-pernas-ask&click_id=creator-20260810-pernas-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized source-period check and paid Ask AI workflow."""
"IPO Boutique","https://www.ipoboutique.com/","IPO and secondary-offering research","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-ipo-boutique-ask&click_id=creator-20260810-ipo-boutique-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized post-offering filing and paid Ask AI workflow."""
"Money Makers","https://money-makers.co/member-home-page/","Investment-trust, fund and portfolio research","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-money-makers-ask&click_id=creator-20260810-money-makers-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized fund/trust source trail and paid Ask AI workflow."""
"Boyar Value Group","https://boyarvaluegroup.com/contact-us-old","Value research and Forgotten Forty company work","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-boyar-value-group-ask&click_id=creator-20260810-boyar-value-group-ask","0","0","0","sent","""Sent from support@stockportfolio.pro with two NVDA screenshots; personalized value-research source trail and paid Ask AI workflow."""
"The Investor’s Podcast Network","https://stage.theinvestorspodcast.com/advertising-with-tip/","Intrinsic-value podcast, valuation and investor education","2026-08-10T13:00:07+05:30","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-investors-podcast-ask&click_id=creator-20260810-investors-podcast-ask","0","0","0","sent","""Sent from support@stockportfolio.pro to the published advertising contact with two NVDA screenshots; personalized intrinsic-value and paid Ask AI workflow."""
